repeater,recency,rfm_score,fo_payment_value,fo_is_daytime,fo_is_weekday,fo_delivery_delay_days,fo_review_score_mean,fo_voucher_payment_value,customer_in_sao_paulo,cluster
0,520,2,995.18,1,0,-19.0,5.0,557.7,0,1
0,406,3,1338.41,1,1,-10.0,4.0,1264.85,1,1
0,183,2,988.48,1,1,-17.0,5.0,988.48,0,1
0,111,2,963.69,1,1,-14.0,4.0,500.0,0,1
0,120,3,1839.05,1,1,-17.0,4.0,1839.05,0,1
0,277,2,710.98,1,0,-16.0,4.0,710.98,1,1
1,162,3,606.57,1,1,-19.0,5.0,606.57,0,1
0,96,2,1006.0,1,1,-7.0,1.0,1006.0,1,1
0,203,2,507.76,1,1,-14.0,4.0,507.76,0,1
0,404,3,1590.25,1,1,-7.0,5.0,1522.42,1,1
0,353,2,618.9499999999999,1,0,-13.0,5.0,604.31,0,1
0,103,2,554.35,1,1,-17.0,5.0,554.35,1,1
0,112,2,529.55,1,1,-14.0,5.0,507.74,0,1
0,207,2,538.6,1,1,-8.0,5.0,538.6,0,1
0,195,2,622.08,1,1,-2.0,4.0,622.08,0,1
0,648,2,666.71,1,1,-30.0,5.0,650.0,0,1
0,210,2,553.52,1,1,-8.0,5.0,470.5,1,1
0,555,3,1400.33,1,1,-21.0,3.0,1400.33,0,1
0,367,2,506.98,1,0,-13.0,5.0,506.98,0,1
0,301,2,659.84,1,1,25.0,1.0,659.84,0,1
0,113,2,832.76,1,1,-27.0,4.0,789.89,0,1
0,438,2,826.9100000000001,0,0,-12.0,5.0,594.98,0,1
1,266,2,871.44,1,1,-18.0,4.5,871.44,1,1
0,449,2,725.43,1,1,-12.0,5.0,578.01,0,1
0,211,2,818.4,1,1,-14.0,5.0,818.4,0,1
0,304,3,3297.3999999999996,1,0,-16.0,5.0,1113.99,0,1
0,204,2,1025.71,1,1,17.0,2.0,1025.71,0,1
0,238,2,1242.54,1,1,-20.0,5.0,1201.08,0,1
0,215,2,714.53,0,1,5.0,1.0,655.78,0,1
0,388,2,788.6,1,0,-19.0,5.0,678.19,0,1
0,158,2,954.24,1,0,-17.0,2.0,954.24,1,1
0,273,2,740.03,1,1,-27.0,4.0,740.03,0,1
0,71,2,680.75,1,1,-1.0,5.0,500.0,1,1
0,61,3,2014.99,1,1,-22.0,1.0,899.99,1,1
0,85,2,874.08,1,1,-7.0,1.0,874.08,1,1
0,251,2,1183.36,1,1,-15.0,5.0,1183.36,1,1
0,236,2,567.0,1,1,-22.0,5.0,567.0,0,1
0,243,2,620.2900000000001,1,1,-14.0,5.0,571.09,0,1
0,159,3,1436.46,1,1,-16.0,5.0,1020.0,0,1
0,477,2,1224.1,1,1,-12.0,5.0,1224.1,1,1
0,506,2,740.76,1,1,-8.0,5.0,700.0,1,1
0,231,2,781.79,1,1,-6.0,5.0,673.6,0,1
0,510,2,1273.16,1,1,-9.0,4.0,900.0,1,1
0,277,2,685.6999999999999,1,0,-17.0,5.0,655.16,1,1
0,141,2,1038.9,1,1,-20.0,5.0,1038.9,1,1
0,118,2,553.26,1,1,-18.0,5.0,553.26,1,1
0,495,2,809.7,1,1,-15.0,1.0,809.7,0,1
1,319,3,711.0699999999999,1,1,-9.0,5.0,500.0,0,1
0,203,2,571.73,1,1,-13.0,5.0,506.56,0,1
0,372,2,828.32,1,1,0.0,5.0,828.32,1,1
0,578,2,1085.3,1,0,-14.0,5.0,1085.3,0,1
